P_OrderId,P_OrderType,P_EnterpriseCode,P_OrderedQuantity,P_CarrierServiceCode,P_OrderReservedQuantity,P_CancelQuantity
1202330019,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330020,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330021,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330022,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330023,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330024,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330025,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330026,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330027,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330028,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330029,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330030,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330031,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330032,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330033,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330034,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330035,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330036,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330037,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330038,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330039,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330040,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330041,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330042,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330043,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330044,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330045,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330046,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330047,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330048,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330049,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330050,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330051,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330052,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330053,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330054,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330055,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330056,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330057,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330058,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330059,SingleConcept,LMG_UAE,1,STANDARD,1,1
1202330060,SingleConcept,LMG_UAE,1,STANDARD,1,1
